date,price
2014-03-25,10000
2014-03-27,10002
2014-04-03,9999
2014-04-10,10003
2014-04-17,9878
2014-04-24,9773
2014-05-01,9796
2014-05-08,9414
2014-05-15,9358
2014-05-22,9592
2014-05-29,9706
2014-06-05,9609
2014-06-12,9789
2014-06-19,9785
2014-06-26,9888
2014-07-03,10031
2014-07-10,10009
2014-07-17,10105
2014-07-24,10233
2014-07-31,10152
2014-08-07,10255
2014-08-14,10309
2014-08-21,10432
2014-08-28,10703
2014-09-04,10740
2014-09-11,10705
2014-09-18,10761
2014-09-25,10763
2014-10-02,11094
2014-10-09,11149
2014-10-16,10641
2014-10-23,10535
2014-10-30,10504
2014-11-06,10996
2014-11-13,11064
2014-11-20,10943
2014-11-27,10807
2014-12-04,10889
2014-12-11,10651
2014-12-18,10367
2014-12-25,10402
2015-01-01,10605
2015-01-08,10738
2015-01-15,10790
2015-01-22,10481
2015-01-29,10508
2015-02-05,10273
2015-02-12,10825
2015-02-19,10846
2015-02-26,10868
2015-03-05,10951
2015-03-12,10923
2015-03-19,10851
2015-03-26,10764
2015-04-02,10633
2015-04-09,10798
2015-04-16,10826
2015-04-23,10779
2015-04-30,10834
2015-05-07,10595
2015-05-14,10554
2015-05-21,10818
2015-05-28,10960
2015-06-04,11006
2015-06-11,11156
2015-06-18,11178
2015-06-25,11271
2015-07-02,11424
2015-07-09,11584
2015-07-16,11557
2015-07-23,11626
2015-07-30,11665
2015-08-06,11601
2015-08-13,11578
2015-08-20,11518
2015-08-27,11297
2015-09-03,11207
2015-09-10,11348
2015-09-17,11326
2015-09-24,11578
2015-10-01,11582
2015-10-08,11842
2015-10-15,11943
2015-10-22,11963
2015-10-29,12170
2015-11-05,12233
2015-11-12,12156
2015-11-19,12225
2015-11-26,12147
2015-12-03,12029
2015-12-10,11938
2015-12-17,12094
2015-12-24,11966
2015-12-31,12058
2016-01-07,11854
2016-01-14,11766
2016-01-21,11442
2016-01-28,11683
2016-02-04,11720
2016-02-18,11924
2016-02-25,11966
2016-03-03,12311
2016-03-10,12388
2016-03-17,12395
2016-03-24,12450
2016-03-31,12341
2016-04-07,12500
2016-04-14,12630
2016-04-21,12491
2016-04-28,12587
2016-05-05,12687
2016-05-12,12783
2016-05-19,12763
2016-05-26,12779
2016-06-02,12930
2016-06-09,13035
2016-06-16,13220
2016-06-23,13494
2016-06-30,13662
2016-07-07,14186
2016-07-14,13979
2016-07-21,13892
2016-07-28,13952
2016-08-04,13634
2016-08-11,13974
2016-08-18,14223
2016-08-25,14251
2016-09-08,14461
2016-09-15,14287
2016-09-22,14524
2016-09-29,14631
2016-10-06,14759
2016-10-13,14684
2016-10-20,14568
2016-10-27,14269
2016-11-03,14180
2016-11-10,14326
2016-11-17,14223
2016-11-24,14325
2016-12-01,14015
2016-12-08,13605
2016-12-15,13771
2016-12-22,13763
2016-12-29,14011
2017-01-05,14241
2017-01-12,14231
2017-01-19,14176
2017-02-02,14554
2017-02-09,14618
2017-02-16,14725
2017-02-23,14936
2017-03-02,14847
2017-03-09,15164
2017-03-16,15310
2017-03-23,15497
2017-03-30,15572
2017-04-06,15556
2017-04-13,15451
2017-04-20,15303
2017-04-27,15506
2017-05-04,15805
2017-05-11,16045
2017-05-18,16134
2017-05-25,16686
2017-06-01,16643
2017-06-08,16871
2017-06-15,17005
2017-06-22,17283
2017-06-29,17277
2017-07-06,17365
2017-07-13,17306
2017-07-20,16918
2017-07-27,17127
2017-08-03,17451
2017-08-10,17339
2017-08-17,17191
2017-08-24,17308
2017-08-31,17451
2017-09-07,17378
2017-09-14,17450
2017-09-21,17553
2017-09-28,17524
2017-10-05,17546
2017-10-12,17775
2017-10-19,17743
2017-10-26,17519
2017-11-02,17436
2017-11-09,17870
2017-11-16,18389
2017-11-23,18689
2017-11-30,19178
2017-12-07,19107
2017-12-14,18898
2017-12-21,19260
2017-12-28,19466
2018-01-04,20071
2018-01-11,20375
2018-01-18,20364
2018-01-25,21006
2018-02-01,21091
2018-02-08,20242
2018-02-22,20900
2018-03-01,21888
2018-03-08,21701
2018-03-15,21856
2018-03-22,21949
2018-03-29,21754
2018-04-05,22281
2018-04-12,22145
2018-04-19,21012
2018-04-26,19820
2018-05-03,20185
2018-05-10,20041
2018-05-17,20440
2018-05-24,19903
2018-05-31,19618
2018-06-07,20316
2018-06-14,19818
2018-06-21,18917
2018-06-28,18479
2018-07-05,17168
2018-07-12,17107
2018-07-19,18324
2018-07-26,18089
2018-08-02,18487
2018-08-09,18724
2018-08-16,18878
2018-08-23,19084
2018-08-30,19366
2018-09-06,18785
2018-09-13,19106
2018-09-20,19541
2018-09-27,19782
2018-10-04,19806
2018-10-11,18693
2018-10-18,18787
2018-10-25,18082
2018-11-01,18212
2018-11-08,18264
2018-11-15,17892
2018-11-22,18239
2018-11-29,18088
2018-12-06,18587
2018-12-13,18566
2018-12-20,18094
2018-12-27,17942
2019-01-03,17607
2019-01-10,17910
2019-01-17,17884
2019-01-24,18062
2019-01-31,18269
2019-02-14,18605
2019-02-21,18672
2019-02-28,18444
2019-03-07,18859
2019-03-14,19056
2019-03-21,18759
2019-03-28,18549
2019-04-04,18786
2019-04-11,18666
2019-04-18,18545
2019-04-25,18655
2019-05-02,18790
2019-05-09,18390
2019-05-16,18789
2019-05-23,19114
2019-05-30,18980
2019-06-06,18645
2019-06-13,18725
2019-06-20,18830
2019-06-27,18668
2019-07-04,19082
2019-07-11,19258
2019-07-18,19423
2019-07-25,19621
2019-08-01,19494
2019-08-08,19712
2019-08-15,20023
2019-08-22,20142
2019-08-29,20132
2019-09-05,19978
2019-09-12,20228
2019-09-19,20443
2019-09-26,20475
2019-10-03,20493
2019-10-10,20438
2019-10-17,20541
2019-10-24,20585
2019-10-31,20524
2019-11-07,20722
2019-11-14,20521
2019-11-21,20325
2019-11-28,20043
2019-12-05,19904
2019-12-12,19999
2019-12-19,19766
2019-12-26,19958
2020-01-02,20219
2020-01-09,20141
2020-01-16,20581
2020-01-30,20249
2020-02-06,20299
2020-02-13,20355
2020-02-20,20474
2020-02-27,20162
2020-03-05,20078
2020-03-12,18491
2020-03-19,18097
2020-03-26,17674
2020-03-31,17207
2020-04-02,17484
2020-04-09,18145
2020-04-16,18397
2020-04-23,18435
2020-04-30,18626
2020-05-07,18776
2020-05-14,19147
2020-05-21,19286
2020-05-28,19298
2020-05-31,19292
2020-06-04,19572
2020-06-11,19498
2020-06-18,19400
2020-06-25,19382
2020-06-30,19083
2020-07-02,19156
2020-07-09,19535
2020-07-16,19606
2020-07-23,19534
2020-07-30,19042
2020-07-31,18938
2020-08-06,19478
2020-08-13,19865
2020-08-20,19928
2020-08-27,20349
2020-08-31,20379
2020-09-03,20491
2020-09-10,20308
2020-09-17,20391
2020-09-24,20707
2020-09-30,20769
2020-10-01,20839
2020-10-08,20923
2020-10-15,21018
2020-10-22,21350
2020-10-29,20869
2020-10-31,20945
2020-11-05,21124
2020-11-12,21433
2020-11-19,21868
2020-11-26,22095
2020-11-30,22199
2020-12-03,22464
2020-12-10,22527
2020-12-17,22764
2020-12-24,22996
2020-12-31,23425
2021-01-07,24356
2021-01-14,24974
2021-01-21,24771
2021-01-28,23199
2021-01-31,23794
2021-02-04,24514
2021-02-18,25341
2021-02-25,25419
2021-02-28,25490
2021-03-04,25468
2021-03-11,25666
2021-03-18,26114
2021-03-25,25367
2021-04-01,26114
2021-04-08,26404
2021-04-15,26435
2021-04-22,26094
2021-04-30,26475
2021-05-06,26885
2021-05-13,27278
2021-05-20,28334
2021-05-27,28549
2021-05-31,29270
2021-06-03,30021
2021-06-10,29155
2021-06-17,29629
2021-06-24,30018
2021-06-30,30666
2021-07-01,30875
2021-07-08,30532
2021-07-15,29491
2021-07-22,29714
2021-07-29,29978
2021-07-31,30297
2021-08-05,30821
2021-08-12,30818
2021-08-19,31148
2021-08-26,30243
2021-08-31,30482
2021-09-09,30770
2021-09-16,30683
2021-09-23,30723
2021-09-30,30680
2021-10-07,30868
2021-10-14,31418
2021-10-21,31379
2021-10-28,31836
2021-10-31,31857
2021-11-04,31821
2021-11-11,31886
2021-11-18,31782
2021-11-25,32372
2021-11-30,31995
2021-12-02,31990
2021-12-09,31675
2021-12-16,31744
2021-12-23,31409
2021-12-30,31705
2021-12-31,31813
2022-01-06,31904
2022-01-13,31392
2022-01-20,30953
2022-01-27,31086
2022-01-31,31280
2022-02-10,32024
2022-02-17,32080
2022-02-24,32206
2022-02-28,32310
2022-03-03,32498
2022-03-10,32323
2022-03-17,31972
2022-03-24,32392
2022-03-31,32877
2022-04-07,33190
2022-04-14,32897
2022-04-21,31656
2022-04-28,31027
2022-04-30,31215
2022-05-05,31103
2022-05-12,29191
2022-05-19,29105
2022-05-26,29715
2022-05-31,30151
2022-06-02,30094
2022-06-09,30808
2022-06-16,29863
2022-06-23,29184
2022-06-30,29306
2022-07-05,29109
2022-07-07,28726
2022-07-12,28929
2022-07-14,29041
2022-07-19,29094
2022-07-21,29383
2022-07-26,29225
2022-07-28,29467
2022-07-31,29468
2022-08-02,29740
2022-08-04,29840
2022-08-09,29957
2022-08-11,29797
2022-08-16,30235
2022-08-18,30154
2022-08-23,30240
2022-08-25,30427
2022-08-30,30237
2022-08-31,30298
2022-09-06,30322
2022-09-08,29721
2022-09-13,29883
2022-09-15,29756
2022-09-20,29233
2022-09-22,29270
2022-09-27,28606
2022-09-29,28112
2022-09-30,28359
2022-10-04,27659
2022-10-06,27526
2022-10-11,26776
2022-10-13,27391
2022-10-18,27685
2022-10-20,27737
2022-10-25,26884
2022-10-27,27290
2022-10-31,27272
2022-11-01,27289
2022-11-03,27143
2022-11-08,26961
2022-11-10,26612
2022-11-15,26104
2022-11-17,26661
2022-11-22,26589
2022-11-24,26695
2022-11-29,27241
2022-11-30,27327
2022-12-01,27192
2022-12-06,27419
2022-12-08,27378
2022-12-13,27345
2022-12-15,27361
2022-12-20,27138
2022-12-22,27145
2022-12-27,27078
2022-12-29,27134
2022-12-31,27139
2023-01-03,27497
2023-01-05,27658
2023-01-10,27569
2023-01-12,27643
2023-01-17,27909
2023-01-26,28127
2023-01-31,28160
2023-02-02,27761
2023-02-07,27724
2023-02-09,27748
2023-02-14,27572
2023-02-16,27915
2023-02-21,28179
2023-02-23,27837
2023-02-28,27506
2023-03-02,27721
2023-03-07,27647
2023-03-09,27950
2023-03-14,27628
2023-03-16,27717
2023-03-21,27563
2023-03-23,27627
2023-03-28,27757
2023-03-30,27817
2023-03-31,27864
2023-04-04,28092
2023-04-06,27955
2023-04-11,27996
2023-04-13,27919
2023-04-18,27804
2023-04-20,27693
2023-04-25,27500
2023-04-27,27510
2023-04-30,27569
2023-05-04,27558
2023-05-09,27705
2023-05-11,27749
2023-05-16,27908
2023-05-18,27905
2023-05-23,27989
2023-05-25,28033
2023-05-30,28199
2023-05-31,28144
2023-06-01,28192
2023-06-06,28533
2023-06-08,28257
2023-06-13,28435
2023-06-15,28443
2023-06-20,28590
2023-06-22,28810
2023-06-27,28970
2023-06-29,28819
2023-06-30,28799
2023-07-04,29062
2023-07-06,28962
2023-07-11,29397
2023-07-13,29534
2023-07-18,29590
2023-07-20,29667
2023-07-25,30075
2023-07-27,30154
2023-07-31,30385
2023-08-01,30325
2023-08-03,30258
2023-08-08,30687
2023-08-10,30406
2023-08-15,30806
2023-08-17,30836
2023-08-22,30094
2023-08-24,30506
2023-08-29,30912
2023-08-31,31512
2023-09-05,31650
2023-09-07,31955
2023-09-12,32074
2023-09-14,31878
2023-09-19,32059
2023-09-21,31981
2023-09-26,30423
2023-09-28,30897
2023-09-30,30749
2023-10-03,30116
2023-10-05,30243
2023-10-10,31022
2023-10-12,31276
2023-10-17,30413
2023-10-19,29819
2023-10-24,30318
2023-10-26,29196
2023-10-31,28377
2023-11-02,29668
2023-11-07,29727
2023-11-09,30595
2023-11-14,30771
2023-11-16,30962
2023-11-21,30787
2023-11-23,30307
2023-11-28,30457
2023-11-30,30547
2023-12-05,31176
2023-12-07,31225
2023-12-12,31384
2023-12-19,30988
2023-12-21,31115
2023-12-26,31438
2023-12-28,31515
2023-12-31,31556
2024-01-02,31571
2024-01-04,32116
2024-01-09,32293
2024-01-11,32261
2024-01-16,32400
2024-01-18,32454
2024-01-23,32683
2024-01-25,32555
2024-01-30,32965
2024-01-31,32685
2024-02-01,33195
2024-02-06,34024
2024-02-15,34313
2024-02-20,34433
2024-02-22,34532
2024-02-27,34997
2024-02-29,35040
2024-03-05,35413
2024-03-07,35200
2024-03-12,34806
2024-03-14,35367
2024-03-19,34637
2024-03-21,35610
2024-03-26,35696
2024-03-28,36026
2024-03-31,35928
2024-04-02,35956
2024-04-04,35151
2024-04-09,34989
2024-04-11,34848
2024-04-16,34286
2024-04-18,33806
2024-04-23,33293
2024-04-25,34221
2024-04-30,34245
2024-05-02,34555
2024-05-07,35250
2024-05-09,35375
2024-05-14,35381
